uid,Titre en anglais,Titre en Japonais,Editeurs,Numéro de série,Date,Main Category,Sub Category
46bf06ef-56be-42c9-ab5f-9dd1ae02d356,Alcahest,アルカエスト,スクウェア / ハル研究所 / Square / HAL Laboratory,SHVC-LX,1993-12-17,Aventure,
ea4407c8-4026-4181-9ed6-ea63f5fde47b,Alice no Paint Adventure,アリスのペイントアドベンチャー,エポック社 / 酒田エス・エー・エス / Epoch / Sakata SAS,SHVC-AALJ-JPN,1995-09-15,Art,Dessin
e74cb7c2-2ddd-425c-933b-79d7c04c091e,Alien 3,エイリアン3,アクレイムジャパン / Acclaim Japan / Probe,SHVC-A3 / SNS-A3-USA,1993-07-09 / 1993-05-01,Platformer,
18ccd208-5ed4-4ab7-99ea-bcbaf5e2348d,Alien vs. Predator,エイリアンVS.プレデター,アイ・ジー・エス / アクティビジョン / IGS (Information Global Service) / Activision,SHVC-AP,1993-01-08,Beat 'em All,
346f2cb3-fcb4-43e6-90ac-69e75cdd6bf0,America Oudan Ultra Quiz,アメリカ横断ウルトラクイズ,トミー / Tomy,SHVC-UQ,1992-11-20,Quiz,
37ca09dd-b1d2-4309-a1ea-3cab61e15685,American Battle Dome,アメリカンバトルドーム,ツクダオリジナル / Tsukuda Original,SHVC-A5BJ-JPN,1995-12-08,Pinball,
8cb9bfdb-60ab-4164-9b02-40a07dc81e90,Ancient Magic - Bazoo! Mahou Sekai,バズー！魔法世界,ホット・ビィ / HOT-B,SHVC-VM,1993-07-23,RPG,
561b315f-851d-4a85-8c81-87cd42f99106,Andre Agassi Tennis,アンドレ・アガシ テニス,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-7A / SNS-7A,1994-03-31 / 1994-01-01,Sports,Tennis
1b6345d3-3cb0-4526-99d0-644933c92ee4,Angelique,アンジェリーク,光栄 / Koei,SHVC-QE,1994-09-23,Strategy,
8aeb2ced-6b7c-4e7c-b3f4-d4d31ac67e24,Angelique Voice Fantasy,アンジェリーク ヴォイス・ファンタジー with ボイサーくん,光栄 / Koei,SHVC-AQLJ-JPN,1996-03-29,Strategy,
acada3a9-6bfe-406a-ad27-9b6c6f4d1418,Animal Buranden - Brutal,アニマル武乱伝 ブルータル,ケムコ（コトブキシステム） / Kemco / Eurocom Entertainment / Cybersoft,SHVC-ABLJ-JPN / SNS-ABLE-USA,1994-12-22 / 1994-12-01,Fighting,Versus
a28e94e0-0f4d-46d7-be91-32bd9302edb5,Animaniacs,アニマニアクス,コナミ / Konami,SHVC-ANCJ-JPN / SNS-ANCE-USA,1997-03-07 / 1994-01-01,Platformer,
3db04b8b-a752-4dcf-8dbc-85e1dd9497f1,Aoki Densetsu Shoot!,蒼き伝説シュート！,ケイエスエス / KSS,SHVC-A3KJ-JPN,1994-12-16,Sports,Soccer
268c3083-d29c-442f-9349-4ab2d69a3e54,Appleseed - Prometheus no Shintaku,アップルシード プロメテウスの神託,ヴィジット / VISIT,SHVC-7X,1994-08-26,Beat 'em all,
81374e4c-eade-42b8-89ec-c9a322e32e97,Aqutallion,アクタリオン,テクモ / テクモソフトプロダクツ / Tecmo / Tecmo Soft Products,SHVC-AQ / SNS-AQ,1993-11-05 / 1995-07-01,RPG,
a0950105-9416-4946-9acc-6a313f1eb3f4,Arabian Nights - Sabaku no Seirei Ou,アラビアンナイト 〜砂漠の精霊王〜,タカラ / パンドラボックス / Takara / Pandora Box,SHVC-AAJJ-JPN,1996-06-14,RPG,
084618ba-7ef3-4b18-ab94-7f644dc35aaf,Araiguma Rascal (Raccoon Rascal),あらいぐまラスカル,メサイヤ（日本コンピューターシステム） / Masiya (NCS),SHVC-R9,1994-03-25,Puzzle,Matching
91a50237-302b-4813-890f-ee121e8557ca,Arcus Spirits,アークス・スピリッツ,サミー / ウルフチーム（日本テレネット） / Sammy / Wolfteam (Telenet Japan),SHVC-A4,1993-10-22,RPG,Action
a4b8f400-193b-4d15-bf14-5e30831bb3cb,Ardy Lightfoot,アルディライトフット,アスキー / ASCII,SHVC-A9 / SNS-A9,1993-11-26 / 1996-02-01,Platformer,
c2c3c206-cb3e-4011-8226-e7c15a705902,Area 88,エリア88,カプコン / Capcom,SHVC-E8 / SNS-E8,1991-07-26 / 1991-09-01,SHMUP,Horizontal
4841477e-7d13-4e22-b9b3-50c8340c964f,Aretha,アレサ,やのまん / 日本アートメディア / Yanoman / Japan Art Media (JAM),SHVC-YJ,1993-11-26,RPG,
cc473e11-cc32-426a-9661-5791e443529b,Aretha 2 - Ariel no Fushigi na Bouken,アレサII アリエルの不思議な旅,やのまん / 日本アートメディア / Yanoman / Japan Art Media (JAM),SHVC-AREJ-JPN,1994-12-02,RPG,
